borrower_id,credit_score,total_credit,used_credit,delinquency_count
517,805,886183,14328,0
518,823,563911,92376,3
519,569,877976,141463,1
520,687,973870,200562,3
521,816,469695,200221,1
522,825,597855,414568,2
523,576,928304,330164,0
524,711,921378,292071,2
525,612,935998,125568,3
526,657,716421,72137,4
527,583,430395,344703,1
528,628,803999,230363,1
529,820,562776,296570,1
530,680,739998,411954,1
531,698,613062,72315,1
532,717,456002,114909,2
533,791,375609,196880,4
534,648,797307,436686,0
535,651,464525,301863,3
536,567,814266,155052,1
537,839,655880,245483,1
538,651,910922,447207,4
539,614,528592,443580,0
540,630,683428,371736,4
541,560,734265,489593,0
542,650,996797,391730,1
543,711,479142,217223,3
544,557,894122,4808,3
545,673,421497,133920,0
546,817,380736,227554,3
547,674,949759,90891,4
548,815,718885,289295,2
549,710,913183,355082,3
550,669,462274,268247,0
551,737,589930,103776,1
552,560,503975,460847,1
553,846,724366,95861,0
554,805,218094,220190,3
555,580,483748,475477,1
556,688,280021,343492,3
557,830,751602,306080,0
558,641,856422,352362,2
559,833,375587,277897,4
560,801,833240,87092,4
561,564,247868,339017,4
562,606,542373,142081,2
563,799,829794,137027,0
564,604,869082,344437,4
565,833,289415,442564,3
566,743,595134,447259,4
567,723,674978,418140,1
568,595,509691,201000,0
569,824,985544,436872,0
570,616,874730,336137,1
571,754,974696,482521,1
572,630,933566,9803,4
573,617,332296,70736,1
574,599,408592,62862,2
575,709,495189,327372,0
576,641,487465,235618,2
577,598,494008,87702,3
578,764,414512,461874,2
579,587,791190,55970,2
580,731,725469,8664,3
581,767,657790,281711,2
582,715,634305,91364,0
583,813,922128,66561,4
584,768,858064,24010,2
585,802,676722,76148,4
586,807,681330,484270,0
587,848,701647,352295,2
588,662,617798,68071,3
589,771,528377,64152,4
590,748,288523,301904,3
591,736,367925,243970,0
592,715,376923,258589,1
593,833,413276,429127,4
594,574,344333,215707,4
595,619,415690,205986,1
596,599,649321,308273,0
597,647,510250,340620,4
598,753,993249,479085,2
599,679,327538,162279,1
600,728,310801,404466,4
601,686,699844,215671,2
602,754,918113,158932,0
603,763,398734,56452,0
604,740,487720,348170,2
605,622,283603,338524,0
606,709,792103,26649,3
607,847,448193,305958,0
608,621,381115,64645,0
609,590,707963,165491,1
610,792,584592,381717,4
611,772,211301,270475,2
612,798,229525,88857,2
613,585,886041,344460,2
614,715,455366,298233,0
615,710,434954,238492,3
616,816,808044,499159,2
617,675,607121,31191,0
618,740,693053,145530,0
619,692,230297,177021,0
620,609,613317,112480,4
621,552,381527,258341,2
622,839,600726,35750,2
623,574,337222,173391,4
624,653,308183,6923,2
625,726,544821,304876,3
626,574,449641,94732,2
627,832,358869,197917,0
628,768,373026,288135,3
629,782,538884,451006,4
630,843,572011,148111,1
631,731,347945,173923,3
632,584,645613,301880,0
633,722,354162,146259,1
634,706,859283,191458,2
635,687,675547,65805,4
636,638,720612,338335,0
637,650,343445,251275,4
638,785,288719,430459,1
639,634,810829,226033,0
640,803,819959,379877,3
641,663,376620,321312,4
642,648,441644,60707,3
643,769,291195,172929,2
644,782,330809,38064,1
645,840,438975,324367,4
646,757,682683,470889,4
647,666,613526,469117,2
648,800,355334,369739,3
649,834,342849,75568,4
650,769,761140,437139,0
651,824,411527,207,1
652,572,888901,115706,4
653,765,928859,334063,3
654,730,274729,140564,2
655,605,400540,203124,2
656,573,919436,774,1
657,691,359254,24132,2
658,642,637014,232012,2
659,685,613819,48569,3
660,634,835972,274753,2
661,619,875413,490852,1
662,819,382120,103011,4
663,700,348075,323716,4
664,614,318466,346661,3
665,682,902196,251157,1
666,795,628563,178505,4
667,600,229581,474645,4
668,558,866181,412107,4
669,696,487016,296816,1
670,574,525521,316883,0
671,616,399196,181850,1
672,581,724089,391159,3
673,744,259956,346168,3
674,817,484947,357471,1
675,727,381269,155756,3
676,708,589286,141927,2
677,737,475998,106246,0
678,616,470884,495351,1
679,585,842167,221152,1
680,669,743660,196619,2
681,595,983001,298450,1
682,847,619672,442535,1
683,619,272677,486849,4
684,765,630330,295911,2
685,817,838281,383048,3
686,658,873260,86175,0
687,556,982354,266140,2
688,564,677754,148588,4
689,629,441324,156311,1
690,768,686881,402183,2
691,677,305659,76665,2
692,816,750820,236472,3
693,634,288067,333663,4
694,592,326838,237115,3
695,607,734766,365658,4
696,550,246745,87709,4
697,726,911619,107492,3
698,690,797573,359320,1
699,558,901574,356781,0
700,575,849437,36772,0
701,730,233138,286202,1
702,567,828610,34787,2
703,725,207218,368381,4
704,651,381656,88119,2
705,676,343643,470617,0
706,584,726469,97786,1
707,784,270271,41084,2
708,558,383906,350889,2
709,661,241954,16337,3
710,555,416036,121828,2
711,739,386827,384750,0
712,698,363129,118023,2
713,608,262150,23314,2
714,584,411437,136591,0
715,802,420839,370014,4
716,610,361025,336866,1
717,755,553013,10248,1
718,552,945663,396632,3
719,596,951718,159794,1
720,704,621646,266186,4
721,650,796737,458167,4
722,621,377342,101119,4
723,720,982708,400883,3
724,840,308917,231004,0
725,631,431510,101502,1
726,662,753497,127705,4
727,656,311766,221106,1
728,839,871441,268121,0
729,573,342692,389599,4
730,621,793422,396313,1
731,761,845181,350980,4
732,627,826805,311417,4
733,811,294646,319597,4
734,653,875191,276922,2
735,706,657650,258541,0
736,807,580938,428383,3
737,819,928229,87732,1
738,651,268403,249088,3
739,639,986451,350561,0
740,735,573356,281739,2
741,713,901596,463798,1
742,624,808117,67114,4
743,788,425535,228094,4
744,551,706789,19960,3
745,785,375326,40923,1
746,720,271467,215801,0
747,680,236958,244456,4
748,551,632948,244237,1
749,849,447411,320853,1
750,657,917725,47462,4
751,567,543016,55883,3
752,634,540598,200318,0
753,591,335882,3149,1
754,832,987674,17130,4
755,622,646069,382121,3
756,666,586973,388006,0
757,817,456730,51155,2
758,583,463716,296215,1
759,640,240670,321112,4
760,631,871443,264018,3
761,697,502528,347244,0
762,724,497379,173556,3
763,649,296825,122531,1
764,708,871064,451714,4
765,842,337899,493521,0
766,777,397717,31649,3
767,789,931447,136763,2
768,755,931293,314328,4
769,643,666087,29584,2
770,641,416160,204422,0
771,713,895479,156723,3
772,613,686454,39327,0
773,594,854423,358990,1
774,676,241774,489258,0
775,742,905642,240911,2
776,713,342079,205251,1
777,687,414291,412473,3
778,721,291355,328284,1
779,685,957245,152454,4
780,657,982007,324159,4
781,633,267434,67078,3
782,667,884578,272959,2
783,611,610175,420906,0
784,653,229968,495720,0
785,811,883584,234383,0
786,585,867550,270977,1
787,552,398353,126689,3
788,554,720045,434054,2
789,616,655362,326713,0
790,747,790522,91089,3
791,619,507118,359440,0
792,559,784032,32541,0
793,556,336959,291287,2
794,757,462781,418202,1
795,659,794890,144294,3
796,682,728570,398104,1
797,618,599448,489669,2
798,845,777974,221987,0
799,847,711416,335991,2
800,834,564624,236475,0
801,848,919718,49815,0
802,823,655493,143435,3
803,598,709757,405839,3
804,612,293222,171345,1
805,802,204713,270777,4
806,839,723734,398423,2
807,596,808294,199776,4
808,810,726334,29602,0
809,765,815856,109141,2
810,817,446533,437977,2
811,687,452401,222821,4
812,694,555936,263938,2
813,763,490321,42698,0
814,713,514086,390262,4
815,758,551339,425842,1
816,618,873106,161418,4
817,802,746112,468345,3
818,695,634320,285355,4
819,642,756356,288502,4
820,575,520403,243182,4
821,670,916661,11055,0
822,677,639676,410623,2
823,750,755271,70786,0
824,770,332129,444505,4
825,736,363731,105935,1
826,730,236372,393832,4
827,760,596723,3172,0
828,614,483633,220045,0
829,609,957763,8436,1
830,780,436765,457614,0
831,757,890171,468808,0
832,554,319809,451985,1
833,695,480904,72304,3
834,761,445042,316221,3
835,668,300736,68141,2
836,632,955853,474393,0
837,684,393580,77732,1
838,825,611541,142765,0
839,706,394620,445716,0
840,799,595910,473992,1
841,674,814905,436063,4
842,724,794578,303979,2
843,780,208405,62246,3
844,597,803001,190234,2
845,808,312234,63802,4
846,597,334300,48212,2
847,766,935966,389445,1
848,598,676162,459037,1
849,599,599411,163593,2
850,793,740884,170394,0
851,642,519582,346692,0
852,618,542055,33571,4
853,777,708141,156904,4
854,677,350268,100070,4
855,573,819852,360392,1
856,581,730718,187719,0
857,566,240628,157987,2
858,816,524074,187253,4
859,615,759807,425689,0
860,656,740590,287887,2
861,719,633579,199223,2
862,633,285604,387057,1
863,677,707950,160722,4
864,646,757090,112663,4
865,591,310277,498726,2
866,614,513348,99661,2
867,695,904316,489990,3
868,642,282950,335684,0
869,805,219793,26205,2
870,780,558110,276609,4
871,799,480322,99305,0
872,805,702335,41606,2
873,612,562881,483771,0
874,808,973318,49080,4
875,707,888988,283220,1
876,656,553427,295866,0
877,812,422531,104362,3
878,829,925279,277754,0
879,676,203348,347995,2
880,685,378449,248158,0
881,766,795990,18724,1
882,772,941075,37441,3
883,719,509820,139580,1
884,820,729092,307564,3
885,595,991871,315253,3
886,841,863206,42812,3
887,684,417051,135743,4
888,662,497427,38068,1
889,621,301749,458847,0
890,832,428912,46175,2
891,737,845131,93878,2
892,811,327043,483756,0
893,735,950924,112967,2
894,587,947061,42186,4
895,788,814498,396937,3
896,766,261509,292816,2
897,775,395539,90569,2
898,554,591241,469105,2
899,683,282792,330104,1
900,820,825952,167937,3
901,837,392983,295700,4
902,663,429331,359994,4
903,588,667989,115951,4
904,789,769212,295338,3
905,657,254915,273610,1
906,738,840498,488277,2
907,835,883773,2319,1
908,762,915343,485084,1
909,777,610129,355421,3
910,679,964303,356585,4
911,580,953707,181082,2
912,812,959192,348387,3
913,651,232787,262459,4
914,828,959658,443988,4
915,760,579118,405059,2
916,595,699316,95019,4
917,558,853490,162732,4
918,718,678888,480293,2
919,678,228500,494146,0
920,626,335022,424292,4
921,713,834281,427327,2
922,692,564353,388874,2
923,618,819564,60559,2
924,741,957697,263803,4
925,733,641860,123169,2
926,779,737255,193692,1
927,766,789918,304776,4
928,755,262842,412756,2
929,651,579560,494807,2
930,564,950490,342121,2
931,632,900898,325539,0
932,706,365923,269793,1
933,595,958803,49972,2
934,836,836175,148940,4
935,649,726828,392778,4
936,635,803650,384124,2
937,751,979279,480310,1
938,636,811038,60216,0
939,757,277276,397802,0
940,565,493225,212489,1
941,694,455480,2376,2
942,672,921031,98930,2
943,647,707032,498481,1
944,794,773549,187088,4
945,589,590929,363325,3
946,590,972510,192041,4
947,733,478352,229848,4
948,651,254129,306448,2
949,829,821747,155002,3
950,840,871822,207556,4
951,835,651365,221524,3
952,665,821888,63846,2
953,783,989707,110372,0
954,594,948495,7594,1
955,631,766293,255157,2
956,679,966151,387557,0
957,659,618657,94605,2
958,598,961911,50952,3
959,784,607032,427412,2
960,734,690482,215947,4
961,578,399268,232778,1
962,807,278504,307882,3
963,752,731314,43736,2
964,783,485479,62379,4
965,834,924537,261699,0
966,770,277772,477979,3
967,561,268842,181575,4
968,607,451279,266394,2
969,833,434106,179700,0
970,674,874238,390856,2
971,586,793867,8415,2
972,606,707240,182160,3
973,781,768017,492853,0
974,568,201705,148449,3
975,746,961354,140574,0
976,642,774639,209068,3
977,580,709801,261903,3
978,683,590765,290471,2
979,615,740689,457799,2
980,613,831773,163881,3
981,785,897260,433128,1
982,775,269525,272961,3
983,631,252253,258626,3
984,599,292274,251066,2
985,582,414027,218550,3
986,615,985243,481646,2
987,751,398999,155512,2
988,826,706536,452981,0
989,783,926849,207111,1
990,827,326170,116892,4
991,626,381560,490080,2
992,653,733019,63731,0
993,752,963607,207765,1
994,826,582110,93767,0
995,642,872026,280949,2
996,718,569695,398520,2
997,720,789358,372020,1
998,765,918820,120123,3
999,652,426636,431913,1
1000,574,693918,449179,3
1001,601,973573,316682,0
1002,834,421222,146682,4
1003,622,341172,377416,2
1004,720,608998,427807,1
1005,682,688967,90356,2
1006,586,674362,316930,4
1007,671,898532,270043,2
1008,693,659373,447251,1
1009,839,828058,224583,1
1010,841,689913,38246,4
1011,611,970344,120781,2
1012,833,215409,253628,1
1013,822,420383,127447,0
1014,718,668649,384597,0
1015,818,392343,101432,0
1016,784,812836,494788,3
1017,720,416290,76598,3
1018,572,318742,481675,4
1019,559,687127,16317,1
1020,562,357649,456261,4
1021,746,455454,148775,1
1022,676,557572,194565,0
1023,646,886681,269795,1
1024,818,770530,412175,1
1025,702,926623,193726,2
1026,589,704394,335089,4
1027,801,797993,303006,3
1028,729,472852,154929,3
1029,718,697764,121885,2
1030,747,285098,325900,3
1031,556,856161,342539,2
1032,817,749203,441799,4
1033,786,412091,4393,2
1034,779,448925,82492,1
1035,635,971910,458264,2
1036,603,457617,345230,1
1037,779,781345,127745,0
1038,726,598482,109425,3
1039,777,318620,71296,3
1040,801,675886,326501,0
1041,657,298947,257255,1
1042,725,501395,5795,3
1043,634,923609,34339,0
1044,705,886583,134017,2
1045,723,612940,262953,2
1046,629,427621,271423,2
1047,726,932561,38020,1
1048,612,791572,345150,2
1049,746,770963,234521,4
1050,844,355166,413840,3
1051,566,522374,244309,1
1052,748,961113,397618,1
1053,828,905292,412489,3
1054,823,796435,354514,2
1055,717,642733,451940,1
1056,731,505004,199076,1
1057,648,261288,193387,0
1058,684,704290,336122,3
1059,837,516209,417692,0
1060,786,709951,488700,2
1061,652,592718,3812,0
1062,693,819513,315814,0
1063,798,454573,476296,1
1064,826,950994,261591,0
1065,758,261470,76443,4
1066,801,612496,49341,0
1067,642,749860,86415,0
1068,729,935679,139382,2
1069,748,730113,117648,1
1070,563,347295,300083,0
1071,703,226959,143378,1
1072,597,666419,463132,1
1073,833,830225,240027,3
1074,759,453473,91880,1
1075,711,664843,192229,3
1076,683,613839,236929,2
1077,682,495760,27722,3
1078,674,865668,328807,1
1079,589,982079,283195,0
1080,675,905687,385182,1
1081,753,284960,209366,1
1082,567,508906,28404,0
1083,685,542964,357338,1
1084,615,639264,121748,4
1085,808,821315,246330,0
1086,582,426781,202843,0
1087,721,973676,427758,3
1088,712,608415,54394,4
1089,832,410928,223109,4
1090,769,753010,371649,1
1091,796,417593,107800,0
1092,711,409052,362835,3
1093,730,986660,419209,2
1094,806,997169,465521,4
1095,667,544492,270358,2
1096,809,710605,470654,1
1097,667,855578,288792,0
1098,736,589630,404431,0
1099,736,976921,292037,0
1100,844,884238,489399,4
1101,807,345388,305181,0
1102,633,496467,385981,0
1103,559,913590,286731,2
1104,823,204613,461416,0
1105,725,929965,106820,0
1106,701,482564,149960,3
1107,550,745398,414219,2
1108,817,448737,116919,0
1109,570,544018,322227,2
1110,620,501589,269808,3
1111,797,699341,239288,0
1112,828,691998,29938,4
1113,786,478596,184975,2
1114,692,989389,253583,0
1115,749,447498,321223,3
1116,716,202419,416113,2
1117,796,930595,470485,0
1118,721,938178,217589,3
1119,750,271962,22694,2
1120,826,946224,448394,3
1121,755,270884,336731,4
1122,604,490457,148037,0
1123,795,566573,485929,1
1124,736,649222,39398,4
1125,843,764610,37772,3
1126,835,227638,155033,0
1127,662,739325,25599,4
1128,654,219098,223953,0
1129,595,568313,127683,4
1130,567,387845,102728,1
1131,556,230661,260726,1
1132,694,994851,270225,1
1133,776,486304,157237,4
1134,652,755751,293392,2
1135,775,894220,491504,4
1136,786,505832,144323,3
1137,838,664705,463749,4
1138,710,883121,227194,1
1139,592,994586,246371,1
1140,583,260244,58789,3
1141,698,435878,387068,4
1142,798,759375,28890,2
1143,758,824690,151463,4
1144,791,891411,240717,0
1145,775,889175,429194,4
1146,751,409685,157784,0
1147,701,954994,380240,0
1148,759,808041,229720,0
